city,site.ID,plant,root.1.L,root.2.L,root.3.L,root.4.L,root.5.L,root.1.nod,root.2.nod,root.3.nod,root.4.nod,root.5.nod,total.root.L,total.nod,nod.density
Toronto,site.9,4,3.7,3,3.4,0,0,6,1,1,0,0,10.1,8,0.792079208
Toronto,site.9,5,2,1.8,2,2.9,2.8,0,0,1,1,0,11.5,2,0.173913043
Toronto,site.9,6,4.5,6.5,0,0,0,1,1,0,0,0,11,2,0.181818182
Toronto,site.9,7,6,5.1,0,0,0,1,1,0,0,0,11.1,2,0.18018018
Toronto,site.9,8,2.6,4.9,2.2,1.6,0,1,1,6,1,0,11.3,9,0.796460177
Toronto,site.9,9,2.9,3,2.7,3.1,0,2,4,0,1,0,11.7,7,0.598290598
Toronto,site.9,10,3.6,1.9,2.1,3.3,0,1,2,1,1,0,10.9,5,0.458715596
Toronto,site.10,1,8.7,3.5,0,0,0,0,0,0,0,0,12.2,0,0
Toronto,site.10,2,3,1.2,2.1,0,0,3,1,5,0,0,6.3,9,1.428571429
Toronto,site.10,3,1.2,4.6,4,3.2,0,1,0,1,0,0,13,2,0.153846154
Toronto,site.10,4,5.9,3.9,3.8,0,0,1,3,0,0,0,13.6,4,0.294117647
Toronto,site.10,5,3.6,3,3.7,0,0,2,3,3,0,0,10.3,8,0.776699029
Toronto,site.10,6,2.8,2.8,3,4.8,0,0,1,0,2,0,13.4,3,0.223880597
Toronto,site.10,7,2.2,3.4,2.6,0,0,2,2,4,0,0,8.2,8,0.975609756
Toronto,site.10,8,2.6,2.5,4.8,0,0,0,0,0,0,0,9.9,0,0
Toronto,site.10,9,1.4,4.6,2.7,0,0,0,2,0,0,0,8.7,2,0.229885057
Toronto,site.10,10,2.1,4.4,3.2,5,0,0,4,3,5,0,14.7,12,0.816326531
Toronto,site.11,1,2.3,1.3,1.5,2.6,0,1,1,0,0,0,7.7,2,0.25974026
Toronto,site.11,2,2.7,1.8,4.8,1.6,0,4,6,0,0,0,10.9,10,0.917431193
Toronto,site.11,3,1.8,2.4,1.9,3.2,3.2,6,0,2,7,7,12.5,22,1.76
Toronto,site.11,4,2,6.1,2.3,0,0,1,3,2,0,0,10.4,6,0.576923077
Toronto,site.11,5,5.9,7.9,0,0,0,1,0,0,0,0,13.8,1,0.072463768
Toronto,site.11,6,6.7,0,0,0,0,9,0,0,0,0,6.7,9,1.343283582
Toronto,site.11,7,4.3,2.9,6.3,0,0,8,9,2,0,0,13.5,19,1.407407407
Toronto,site.11,8,5.8,0,0,0,0,14,0,0,0,0,5.8,14,2.413793103
Toronto,site.11,9,4.4,5.8,0,0,0,15,14,0,0,0,10.2,29,2.843137255
Toronto,site.11,10,4.2,2.6,0,0,0,3,0,0,0,0,6.8,3,0.441176471
Toronto,site.12,1,2.1,1.6,0,0,0,6,6,0,0,0,3.7,12,3.243243243
Toronto,site.12,2,5.6,5.1,0,0,0,2,1,0,0,0,10.7,3,0.280373832
Toronto,site.12,3,2,4.1,0.7,0,0,1,4,1,0,0,6.8,6,0.882352941
Toronto,site.12,4,4.8,2.5,0,0,0,1,3,0,0,0,7.3,4,0.547945205
Toronto,site.12,5,3.2,3.3,3.3,2.9,0,7,3,0,2,0,12.7,12,0.94488189
Toronto,site.12,6,5.2,4.8,0,0,0,4,2,0,0,0,10,6,0.6
Toronto,site.12,7,1.8,3.5,0,0,0,2,6,0,0,0,5.3,8,1.509433962
Toronto,site.12,8,3.3,2.1,2.4,4,0,3,0,1,0,0,11.8,4,0.338983051
Toronto,site.12,9,2.6,2.7,2.3,3.2,0,1,4,1,1,0,10.8,7,0.648148148
Toronto,site.12,10,2.6,1.5,2.7,3.7,0,0,0,1,1,0,10.5,2,0.19047619
Toronto,site.13,1,1.6,3.3,4,1.6,0,2,0,0,4,0,10.5,6,0.571428571
Toronto,site.13,2,1.4,2.6,5.6,3.1,0,1,0,0,0,0,12.7,1,0.078740157
Toronto,site.13,3,2.5,2.9,0,0,0,3,0,0,0,0,5.4,3,0.555555556
Toronto,site.13,4,2.1,1.3,1.6,1.8,4.2,5,3,2,2,8,11,20,1.818181818
Toronto,site.13,5,4.1,3,2.9,0,0,10,2,0,0,0,10,12,1.2
Toronto,site.13,6,1.3,1.8,2.5,3.7,4.7,1,2,3,2,2,14,10,0.714285714
Toronto,site.13,7,2.1,2.9,1.2,0,0,0,3,0,0,0,6.2,3,0.483870968
Toronto,site.13,8,3.3,2.6,0,0,0,3,2,0,0,0,5.9,5,0.847457627
Toronto,site.13,9,3,6.5,5.5,0,0,0,0,0,0,0,15,0,0
Toronto,site.13,10,4.4,5.2,5.5,0,0,1,2,1,0,0,15.1,4,0.264900662
Toronto,site.14,1,6.3,6.4,0,0,0,0,1,0,0,0,12.7,1,0.078740157
Toronto,site.14,2,4.7,1.5,2.1,2.1,0,4,1,1,1,0,10.4,7,0.673076923
Toronto,site.14,3,7.2,6.5,0,0,0,0,1,0,0,0,13.7,1,0.072992701
Toronto,site.14,4,2.3,4.5,4.1,0,0,0,0,1,0,0,10.9,1,0.091743119
Toronto,site.14,5,3.2,2.9,0,0,0,1,2,0,0,0,6.1,3,0.491803279
Toronto,site.14,6,2.4,2.5,6.6,0,0,2,0,1,0,0,11.5,3,0.260869565
Toronto,site.14,7,4.5,1.4,4.7,0,0,5,0,6,0,0,10.6,11,1.037735849
Toronto,site.14,8,1.1,3.3,0,0,0,0,5,0,0,0,4.4,5,1.136363636
Toronto,site.14,9,3.4,2.9,3.1,3.6,0,1,1,3,0,0,13,5,0.384615385
Toronto,site.14,10,4.1,2.9,1.5,1.6,0,2,3,3,4,0,10.1,12,1.188118812
Toronto,site.15,1,5.2,3.6,4.1,0,0,0,0,0,0,0,12.9,0,0
Toronto,site.15,2,2.5,2.5,2.6,0,0,1,2,2,0,0,7.6,5,0.657894737
Toronto,site.15,3,1.8,2,3,0,0,0,0,1,0,0,6.8,1,0.147058824
Toronto,site.15,4,3.8,5.6,4.4,0,0,3,5,4,0,0,13.8,12,0.869565217
Toronto,site.15,5,2.5,4.1,5.1,0,0,0,0,1,0,0,11.7,1,0.085470085
Toronto,site.15,6,3.5,4.1,4.2,0,0,1,0,0,0,0,11.8,1,0.084745763
